stoties_kodas,ilguma,platuma,oro_temp,juntamoji_temp,debesuotumas,slegis_juros_lyg,santyk_oro_dregme,kritutliu_kiekis,year,month
nidos-ams,21.00736,55.30221,18.19986111111111,18.24888888888889,43.77777777777778,1012.84375,71.94583333333334,53.5,2024,06
panevezio-ams,24.417184,55.735154,17.777361111111112,17.74277777777778,40.80528511821975,1012.7659722222222,74.03333333333333,51.6,2024,06
raseiniu-ams,23.133073,55.394569,17.077083333333334,17.061944444444446,44.30041724617524,1012.7855555555556,72.20555555555555,51.8,2024,06
siauliu-ams,23.331111,55.942222,17.580694444444443,17.50166666666667,41.958333333333336,1012.7394444444445,66.57222222222222,38.5,2024,06
silutes-ams,21.446944,55.352222,17.653333333333332,17.65,48.11971830985915,1013.0358333333334,72.50138888888888,58.3,2024,06
telsiu-ams,22.256657,55.991245,16.923333333333332,16.895555555555553,48.375174337517436,1012.3241666666667,68.425,51.8,2024,06
ukmerges-ams,24.760335,55.264145,17.69763888888889,17.651666666666667,43.03765690376569,1013.0155555555555,74.20277777777778,47.8,2024,06
utenos-ams,25.589692,55.515321,17.50375,17.49527777777778,48.188998589562765,1012.9247222222223,75.65277777777777,53.5,2024,06
varenos-ams,24.55176,54.248271,17.968333333333334,17.910833333333333,45.810659186535766,1013.2268055555556,72.73333333333333,55.1,2024,06
vilniaus-ams,25.107064,54.625992,18.176805555555553,18.132083333333334,48.27272727272727,1013.1472222222222,70.91527777777777,49.6,2024,06
akmenes-ams,22.73081,56.24992,17.351388888888888,,,,83.0,17.0,2024,07
alytaus-ams,24.063274,54.412435,17.115277777777777,,,,79.61111111111111,23.9,2024,07
anyksciu-ams,25.1178,55.51735,17.231944444444444,,,1007.8097222222223,81.19444444444444,46.7,2024,07
birstono-ams,24.035802,54.603217,17.725,,,,83.36111111111111,29.0,2024,07
birzu-ams,24.774184,56.193191,19.77594086021505,19.746774193548386,56.97840755735493,1012.4985215053764,75.26478494623656,71.4,2024,07
dotnuvos-ams,23.866224,55.395993,19.965860215053763,19.921639784946237,51.005376344086024,1012.8879032258064,69.58333333333333,110.4,2024,07
druskininku-ams,23.980791,54.018202,17.543055555555554,,,,76.31944444444444,16.400000000000002,2024,07
duksto-ams,26.31614,55.517856,19.48736559139785,19.53521505376344,46.18598382749326,1012.3998655913979,80.87096774193549,169.0,2024,07
elektrenu-ams,24.689854,54.786161,16.947222222222223,,,,77.69444444444444,48.1,2024,07
jonavos-ams,24.277147,55.06913,17.670833333333334,,,,75.66666666666667,49.2,2024,07
joniskio-ams,23.630755,56.246354,17.69861111111111,,,,79.09722222222223,11.8,2024,07
jurbarko-ams,22.773518,55.094064,17.76111111111111,,,,76.75,10.7,2024,07
kaisiadoriu-ams,24.437842,54.856942,16.970833333333335,,,,84.30555555555556,55.1,2024,07
kalvarijos-ams,23.216806,54.421564,17.57638888888889,,,,73.84722222222223,13.2,2024,07
kauno-ams,23.83588,54.88396,19.983064516129033,19.970967741935482,53.27956989247312,1013.1801075268817,72.30779569892474,109.4,2024,07
kazlu-rudos-ams,23.514815,54.699852,17.069444444444443,,,,80.86111111111111,22.1,2024,07
kelmes-ams,22.934568,55.629044,17.355555555555554,,,,76.11111111111111,17.4,2024,07
klaipedos-ams,21.09157,55.73135,19.069086021505377,19.072446236559138,52.02956989247312,1013.1904569892472,77.78629032258064,138.1,2024,07
kretingos-ams,21.27306,55.894089,17.795833333333334,,,,76.70833333333333,0.0,2024,07
kupiskio-ams,24.909266,55.851591,17.522222222222222,,,,81.33333333333333,36.4,2024,07
kybartu-ams,22.783011,54.633167,19.794892473118278,19.78266129032258,45.722745625841185,1013.3991935483871,73.11693548387096,122.9,2024,07
laukuvos-ams,22.239463,55.60886,18.28279569892473,18.281317204301075,54.03819918144611,1013.178494623656,78.44623655913979,179.20000000000002,2024,07
lazdiju-ams,23.51068,54.23221,20.09543010752688,20.07002688172043,46.904183535762485,1013.4861559139785,68.83333333333333,69.3,2024,07
marijampoles-ams,23.35181,54.528855,17.615277777777777,17.605555555555554,,,75.33333333333333,9.5,2024,07
mazeikiu-ams,22.317683,56.353885,17.583333333333332,17.583333333333332,,1011.0500000000001,78.30555555555556,12.4,2024,07
moletu-ams,25.416378,55.235244,16.913888888888888,,,,84.73611111111111,45.8,2024,07
nidos-ams,21.00736,55.30221,19.833736559139783,19.884274193548386,49.402422611036336,1013.3,78.63978494623656,145.0,2024,07
pagegiu-ams,21.950386,55.140898,17.976388888888888,,,,76.65277777777777,5.9,2024,07
pakruojo-ams,23.902854,56.083488,17.45138888888889,,,,81.06944444444444,28.5,2024,07
panevezio-ams,24.417184,55.735154,19.695698924731182,19.723537414965985,51.026881720430104,1012.6788978494624,73.5036496350365,124.1,2024,07
plunges-ams,21.866687,55.907014,17.320833333333333,,,,76.375,6.5,2024,07
prienu-ams,24.0525,54.7291,16.952777777777776,,,,77.86111111111111,23.5,2024,07
raseiniu-ams,23.133073,55.394569,19.069220430107528,19.046370967741936,54.64546684709066,1012.9268817204301,73.32795698924731,118.1,2024,07
rietavo-ams,21.958142,55.718091,17.327777777777776,,,,76.95833333333333,5.9,2024,07
rokiskio-ams,25.59149,55.95498,17.040277777777778,17.030555555555555,,1006.7847222222222,85.90277777777777,36.2,2024,07
sakiu-ams,23.036425,54.94907,17.243055555555557,,,,79.13888888888889,15.799999999999999,2024,07
salcininku-ams,25.374422,54.31038,15.747222222222222,,,,88.16666666666667,48.2,2024,07
seduvos-ams,23.74245,55.75466,17.368055555555557,,,,77.30555555555556,32.9,2024,07
siauliu-ams,23.331111,55.942222,19.201075268817206,19.156854838709677,56.920592193808886,1012.8790322580645,71.26747311827957,193.7,2024,07
silutes-ams,21.446944,55.352222,19.04045698924731,19.046236559139786,50.768606224627874,1013.4630376344086,76.50672043010752,145.20000000000002,2024,07
skuodo-ams,21.513962,56.277213,17.308333333333334,,,,80.375,0.4,2024,07
svencioniu-ams,26.172895,55.132777,16.318055555555556,16.318055555555556,,1006.813888888889,85.80555555555556,60.3,2024,07
taurages-ams,22.27802,55.256786,17.63611111111111,17.634722222222223,,1012.3180555555555,76.02777777777777,1.6,2024,07
telsiu-ams,22.256657,55.991245,18.54247311827957,18.52002688172043,57.49797023004059,1012.6244623655914,73.09946236559139,187.9,2024,07
traku-ams,24.785292,54.615924,16.686111111111114,,,,80.88888888888889,48.9,2024,07
ukmerges-ams,24.760335,55.264145,19.947715053763442,19.934408602150537,51.620457604306864,1012.9334677419355,74.83467741935483,165.1,2024,07
utenos-ams,25.589692,55.515321,19.656586021505376,19.71290322580645,57.5169147496617,1012.7880376344086,78.59274193548387,142.7,2024,07
varenos-ams,24.55176,54.248271,19.96733870967742,19.98736559139785,48.047554347826086,1013.3370967741936,75.48655913978494,144.5,2024,07
ventes-ams,21.189682,55.340853,19.019444444444446,19.019444444444446,,,76.40277777777777,0.0,2024,07
vezaiciu-ams,21.4743,55.7205,17.302777777777777,17.302777777777777,,,78.08333333333333,0.0,2024,07
vilniaus-ams,25.107064,54.625992,20.01989247311828,20.040994623655912,53.51907356948229,1013.1646505376344,74.01747311827957,184.1,2024,07
zarasu-ams,26.250977,55.742673,16.9375,,,,86.54166666666667,22.9,2024,07
akmenes-ams,22.73081,56.24992,18.33764880952381,,,,78.12797619047619,33.8,2024,08
alytaus-ams,24.063274,54.412435,19.347321428571426,,,,75.16815476190476,17.5,2024,08
anyksciu-ams,25.1178,55.51735,18.44032738095238,,,1014.3813988095238,76.8735119047619,45.6,2024,08
birstono-ams,24.035802,54.603217,19.614880952380954,,,,80.14434523809524,35.6,2024,08
birzu-ams,24.774184,56.193191,18.661458333333332,18.641815476190477,40.88922155688623,1014.0392857142857,76.83035714285714,29.200000000000003,2024,08
dotnuvos-ams,23.866224,55.395993,19.429268292682927,19.401219512195123,36.476335877862596,1014.1160060975609,70.67530487804878,22.7,2024,08
druskininku-ams,23.980791,54.018202,19.72872023809524,,,,77.1235119047619,32.7,2024,08
duksto-ams,26.31614,55.517856,18.157886904761906,18.17886904761905,39.666169895678095,1013.886755952381,83.02232142857143,38.7,2024,08
elektrenu-ams,24.689854,54.786161,19.35014880952381,,,,71.93303571428571,20.0,2024,08
jonavos-ams,24.277147,55.06913,19.430654761904762,,,,73.125,39.0,2024,08
