"Laikotarpis","Rodiklis","Administracinė teritorija","Matavimo vienetai","Reikšmė"
"2022","Miškingumas","Birštono sav.","proc.","47.2"
"2023","Miškingumas","Birštono sav.","proc.","47.2"
"2024","Miškingumas","Birštono sav.","proc.","47.2"
"2004","Miškingumas","Jonavos r. sav.","proc.","41.8"
"2005","Miškingumas","Jonavos r. sav.","proc.","41.9"
"2006","Miškingumas","Jonavos r. sav.","proc.","41.9"
"2007","Miškingumas","Jonavos r. sav.","proc.","41.9"
"2008","Miškingumas","Jonavos r. sav.","proc.","41.9"
"2009","Miškingumas","Jonavos r. sav.","proc.","41.9"
"2010","Miškingumas","Jonavos r. sav.","proc.","41.9"
"2011","Miškingumas","Jonavos r. sav.","proc.","41.9"
"2012","Miškingumas","Jonavos r. sav.","proc.","41.8"
"2013","Miškingumas","Jonavos r. sav.","proc.","41.8"
"2014","Miškingumas","Jonavos r. sav.","proc.","41.8"
"2015","Miškingumas","Jonavos r. sav.","proc.","41.8"
"2016","Miškingumas","Jonavos r. sav.","proc.","41.7"
"2017","Miškingumas","Jonavos r. sav.","proc.","41.8"
"2018","Miškingumas","Jonavos r. sav.","proc.","41.3"
"2019","Miškingumas","Jonavos r. sav.","proc.","41.3"
"2020","Miškingumas","Jonavos r. sav.","proc.","41.3"
"2021","Miškingumas","Jonavos r. sav.","proc.","41.2"
"2022","Miškingumas","Jonavos r. sav.","proc.","41.2"
"2023","Miškingumas","Jonavos r. sav.","proc.","41.2"
"2024","Miškingumas","Jonavos r. sav.","proc.","41.6"
"2004","Miškingumas","Kaišiadorių r. sav.","proc.","31.4"
"2005","Miškingumas","Kaišiadorių r. sav.","proc.","31.5"
"2006","Miškingumas","Kaišiadorių r. sav.","proc.","31.5"
"2007","Miškingumas","Kaišiadorių r. sav.","proc.","31.5"
"2008","Miškingumas","Kaišiadorių r. sav.","proc.","31.5"
"2009","Miškingumas","Kaišiadorių r. sav.","proc.","31.6"
"2010","Miškingumas","Kaišiadorių r. sav.","proc.","31.5"
"2011","Miškingumas","Kaišiadorių r. sav.","proc.","31.5"
"2012","Miškingumas","Kaišiadorių r. sav.","proc.","32.6"
"2013","Miškingumas","Kaišiadorių r. sav.","proc.","32.7"
"2014","Miškingumas","Kaišiadorių r. sav.","proc.","32.8"
"2015","Miškingumas","Kaišiadorių r. sav.","proc.","32.8"
"2016","Miškingumas","Kaišiadorių r. sav.","proc.","32.8"
"2017","Miškingumas","Kaišiadorių r. sav.","proc.","33.0"
"2018","Miškingumas","Kaišiadorių r. sav.","proc.","33.0"
"2019","Miškingumas","Kaišiadorių r. sav.","proc.","33.0"
"2020","Miškingumas","Kaišiadorių r. sav.","proc.","33.0"
"2021","Miškingumas","Kaišiadorių r. sav.","proc.","33.3"
"2022","Miškingumas","Kaišiadorių r. sav.","proc.","33.4"
"2023","Miškingumas","Kaišiadorių r. sav.","proc.","33.5"
"2024","Miškingumas","Kaišiadorių r. sav.","proc.","33.7"
"2004","Miškingumas","Kauno m. sav.","proc.","20.6"
"2005","Miškingumas","Kauno m. sav.","proc.","16.8"
"2006","Miškingumas","Kauno m. sav.","proc.","16.9"
"2007","Miškingumas","Kauno m. sav.","proc.","16.9"
"2008","Miškingumas","Kauno m. sav.","proc.","16.9"
"2009","Miškingumas","Kauno m. sav.","proc.","16.9"
"2010","Miškingumas","Kauno m. sav.","proc.","16.9"
"2011","Miškingumas","Kauno m. sav.","proc.","16.9"
"2012","Miškingumas","Kauno m. sav.","proc.","16.6"
"2013","Miškingumas","Kauno m. sav.","proc.","17.7"
"2014","Miškingumas","Kauno m. sav.","proc.","17.7"
"2015","Miškingumas","Kauno m. sav.","proc.","17.7"
"2016","Miškingumas","Kauno m. sav.","proc.","17.7"
"2017","Miškingumas","Kauno m. sav.","proc.","17.6"
"2018","Miškingumas","Kauno m. sav.","proc.","17.5"
"2019","Miškingumas","Kauno m. sav.","proc.","17.5"
"2020","Miškingumas","Kauno m. sav.","proc.","17.4"
"2021","Miškingumas","Kauno m. sav.","proc.","15.3"
"2022","Miškingumas","Kauno m. sav.","proc.","15.3"
"2023","Miškingumas","Kauno m. sav.","proc.","15.4"
"2024","Miškingumas","Kauno m. sav.","proc.","15.4"
"2004","Miškingumas","Kauno r. sav.","proc.","32.6"
"2005","Miškingumas","Kauno r. sav.","proc.","32.7"
"2006","Miškingumas","Kauno r. sav.","proc.","32.7"
"2007","Miškingumas","Kauno r. sav.","proc.","32.7"
"2008","Miškingumas","Kauno r. sav.","proc.","32.7"
"2009","Miškingumas","Kauno r. sav.","proc.","32.7"
"2010","Miškingumas","Kauno r. sav.","proc.","32.7"
"2011","Miškingumas","Kauno r. sav.","proc.","32.7"
"2012","Miškingumas","Kauno r. sav.","proc.","32.8"
"2013","Miškingumas","Kauno r. sav.","proc.","32.5"
"2014","Miškingumas","Kauno r. sav.","proc.","32.5"
"2015","Miškingumas","Kauno r. sav.","proc.","32.5"
"2016","Miškingumas","Kauno r. sav.","proc.","32.5"
"2017","Miškingumas","Kauno r. sav.","proc.","32.3"
"2018","Miškingumas","Kauno r. sav.","proc.","32.3"
"2019","Miškingumas","Kauno r. sav.","proc.","32.3"
"2020","Miškingumas","Kauno r. sav.","proc.","32.4"
"2021","Miškingumas","Kauno r. sav.","proc.","32.4"
"2022","Miškingumas","Kauno r. sav.","proc.","32.3"
"2023","Miškingumas","Kauno r. sav.","proc.","32.4"
"2024","Miškingumas","Kauno r. sav.","proc.","32.6"
"2004","Miškingumas","Kėdainių r. sav.","proc.","25.5"
"2005","Miškingumas","Kėdainių r. sav.","proc.","25.5"
"2006","Miškingumas","Kėdainių r. sav.","proc.","25.6"
