"Laikotarpis","Rodiklis","Administracinė teritorija","Matavimo vienetai","Reikšmė"
"2022","Miškingumas","Telšių r. sav.","proc.","35.6"
"2023","Miškingumas","Telšių r. sav.","proc.","35.7"
"2024","Miškingumas","Telšių r. sav.","proc.","35.7"
"2004","Miškingumas","Utenos apskritis","proc.","32.8"
"2005","Miškingumas","Utenos apskritis","proc.","32.8"
"2006","Miškingumas","Utenos apskritis","proc.","32.8"
"2007","Miškingumas","Utenos apskritis","proc.","32.8"
"2008","Miškingumas","Utenos apskritis","proc.","33.3"
"2009","Miškingumas","Utenos apskritis","proc.","34.0"
"2010","Miškingumas","Utenos apskritis","proc.","34.1"
"2011","Miškingumas","Utenos apskritis","proc.","34.1"
"2012","Miškingumas","Utenos apskritis","proc.","34.1"
"2013","Miškingumas","Utenos apskritis","proc.","34.1"
"2014","Miškingumas","Utenos apskritis","proc.","34.3"
"2015","Miškingumas","Utenos apskritis","proc.","34.5"
"2016","Miškingumas","Utenos apskritis","proc.","34.5"
"2017","Miškingumas","Utenos apskritis","proc.","34.6"
"2018","Miškingumas","Utenos apskritis","proc.","34.7"
"2019","Miškingumas","Utenos apskritis","proc.","34.7"
"2020","Miškingumas","Utenos apskritis","proc.","34.8"
"2021","Miškingumas","Utenos apskritis","proc.","35.0"
"2022","Miškingumas","Utenos apskritis","proc.","34.5"
"2023","Miškingumas","Utenos apskritis","proc.","34.5"
"2024","Miškingumas","Utenos apskritis","proc.","35.3"
"2004","Miškingumas","Anykščių r. sav.","proc.","30.3"
"2005","Miškingumas","Anykščių r. sav.","proc.","30.6"
"2006","Miškingumas","Anykščių r. sav.","proc.","30.6"
"2007","Miškingumas","Anykščių r. sav.","proc.","30.6"
"2008","Miškingumas","Anykščių r. sav.","proc.","32.2"
"2009","Miškingumas","Anykščių r. sav.","proc.","32.2"
"2010","Miškingumas","Anykščių r. sav.","proc.","32.2"
"2011","Miškingumas","Anykščių r. sav.","proc.","32.2"
"2012","Miškingumas","Anykščių r. sav.","proc.","32.2"
"2013","Miškingumas","Anykščių r. sav.","proc.","32.4"
"2014","Miškingumas","Anykščių r. sav.","proc.","32.6"
"2015","Miškingumas","Anykščių r. sav.","proc.","32.7"
"2016","Miškingumas","Anykščių r. sav.","proc.","32.7"
"2017","Miškingumas","Anykščių r. sav.","proc.","32.8"
"2018","Miškingumas","Anykščių r. sav.","proc.","33.2"
"2019","Miškingumas","Anykščių r. sav.","proc.","33.2"
"2020","Miškingumas","Anykščių r. sav.","proc.","33.2"
"2021","Miškingumas","Anykščių r. sav.","proc.","33.8"
"2022","Miškingumas","Anykščių r. sav.","proc.","33.9"
"2023","Miškingumas","Anykščių r. sav.","proc.","34.0"
"2024","Miškingumas","Anykščių r. sav.","proc.","34.2"
"2004","Miškingumas","Ignalinos r. sav.","proc.","35.5"
"2005","Miškingumas","Ignalinos r. sav.","proc.","35.5"
"2006","Miškingumas","Ignalinos r. sav.","proc.","35.5"
"2007","Miškingumas","Ignalinos r. sav.","proc.","35.5"
"2008","Miškingumas","Ignalinos r. sav.","proc.","35.5"
"2009","Miškingumas","Ignalinos r. sav.","proc.","37.5"
"2010","Miškingumas","Ignalinos r. sav.","proc.","36.0"
"2011","Miškingumas","Ignalinos r. sav.","proc.","36.0"
"2012","Miškingumas","Ignalinos r. sav.","proc.","36.0"
"2013","Miškingumas","Ignalinos r. sav.","proc.","36.0"
"2014","Miškingumas","Ignalinos r. sav.","proc.","36.3"
"2015","Miškingumas","Ignalinos r. sav.","proc.","36.4"
"2016","Miškingumas","Ignalinos r. sav.","proc.","36.4"
"2017","Miškingumas","Ignalinos r. sav.","proc.","36.5"
"2018","Miškingumas","Ignalinos r. sav.","proc.","36.6"
"2019","Miškingumas","Ignalinos r. sav.","proc.","36.6"
"2020","Miškingumas","Ignalinos r. sav.","proc.","36.6"
"2021","Miškingumas","Ignalinos r. sav.","proc.","36.8"
"2022","Miškingumas","Ignalinos r. sav.","proc.","36.9"
"2023","Miškingumas","Ignalinos r. sav.","proc.","37.0"
"2024","Miškingumas","Ignalinos r. sav.","proc.","37.1"
"2004","Miškingumas","Molėtų r. sav.","proc.","28.5"
"2005","Miškingumas","Molėtų r. sav.","proc.","28.6"
"2006","Miškingumas","Molėtų r. sav.","proc.","28.5"
"2007","Miškingumas","Molėtų r. sav.","proc.","28.5"
"2008","Miškingumas","Molėtų r. sav.","proc.","28.9"
"2009","Miškingumas","Molėtų r. sav.","proc.","31.2"
"2010","Miškingumas","Molėtų r. sav.","proc.","31.2"
"2011","Miškingumas","Molėtų r. sav.","proc.","31.2"
"2012","Miškingumas","Molėtų r. sav.","proc.","31.2"
"2013","Miškingumas","Molėtų r. sav.","proc.","31.2"
"2014","Miškingumas","Molėtų r. sav.","proc.","31.3"
"2015","Miškingumas","Molėtų r. sav.","proc.","31.5"
"2016","Miškingumas","Molėtų r. sav.","proc.","31.5"
"2017","Miškingumas","Molėtų r. sav.","proc.","31.6"
"2018","Miškingumas","Molėtų r. sav.","proc.","31.6"
"2019","Miškingumas","Molėtų r. sav.","proc.","31.6"
"2020","Miškingumas","Molėtų r. sav.","proc.","31.7"
"2021","Miškingumas","Molėtų r. sav.","proc.","31.8"
"2022","Miškingumas","Molėtų r. sav.","proc.","31.9"
"2023","Miškingumas","Molėtų r. sav.","proc.","32.0"
"2024","Miškingumas","Molėtų r. sav.","proc.","32.0"
"2004","Miškingumas","Utenos r. sav.","proc.","31.8"
"2005","Miškingumas","Utenos r. sav.","proc.","31.8"
"2006","Miškingumas","Utenos r. sav.","proc.","31.8"
"2007","Miškingumas","Utenos r. sav.","proc.","31.8"
"2008","Miškingumas","Utenos r. sav.","proc.","31.8"
"2009","Miškingumas","Utenos r. sav.","proc.","33.0"
"2010","Miškingumas","Utenos r. sav.","proc.","33.1"
"2011","Miškingumas","Utenos r. sav.","proc.","33.1"
"2012","Miškingumas","Utenos r. sav.","proc.","33.2"
"2013","Miškingumas","Utenos r. sav.","proc.","33.2"
"2014","Miškingumas","Utenos r. sav.","proc.","33.4"
"2015","Miškingumas","Utenos r. sav.","proc.","33.7"
"2016","Miškingumas","Utenos r. sav.","proc.","33.7"
"2017","Miškingumas","Utenos r. sav.","proc.","33.7"
"2018","Miškingumas","Utenos r. sav.","proc.","33.7"
"2019","Miškingumas","Utenos r. sav.","proc.","33.7"
"2020","Miškingumas","Utenos r. sav.","proc.","33.9"
"2021","Miškingumas","Utenos r. sav.","proc.","33.9"
"2022","Miškingumas","Utenos r. sav.","proc.","34.1"
"2023","Miškingumas","Utenos r. sav.","proc.","34.2"
"2024","Miškingumas","Utenos r. sav.","proc.","34.3"
"2004","Miškingumas","Visagino sav.","proc.","56.0"
"2005","Miškingumas","Visagino sav.","proc.","56.0"
"2006","Miškingumas","Visagino sav.","proc.","56.0"
"2007","Miškingumas","Visagino sav.","proc.","56.0"
"2008","Miškingumas","Visagino sav.","proc.","56.0"
"2009","Miškingumas","Visagino sav.","proc.","20.2"
"2010","Miškingumas","Visagino sav.","proc.","57.6"
"2011","Miškingumas","Visagino sav.","proc.","57.6"
"2012","Miškingumas","Visagino sav.","proc.","57.6"
"2013","Miškingumas","Visagino sav.","proc.","57.6"
"2014","Miškingumas","Visagino sav.","proc.","58.0"
"2015","Miškingumas","Visagino sav.","proc.","57.8"
"2016","Miškingumas","Visagino sav.","proc.","57.5"
"2017","Miškingumas","Visagino sav.","proc.","57.5"
"2018","Miškingumas","Visagino sav.","proc.","57.5"
"2019","Miškingumas","Visagino sav.","proc.","57.5"
"2020","Miškingumas","Visagino sav.","proc.","58.0"
"2021","Miškingumas","Visagino sav.","proc.","57.7"
"2022","Miškingumas","Visagino sav.","proc.","57.5"
"2023","Miškingumas","Visagino sav.","proc.","57.5"
"2024","Miškingumas","Visagino sav.","proc.","55.7"
"2004","Miškingumas","Zarasų r. sav.","proc.","37.2"
"2005","Miškingumas","Zarasų r. sav.","proc.","37.2"
"2006","Miškingumas","Zarasų r. sav.","proc.","37.2"
"2007","Miškingumas","Zarasų r. sav.","proc.","37.2"
"2008","Miškingumas","Zarasų r. sav.","proc.","37.3"
"2009","Miškingumas","Zarasų r. sav.","proc.","37.2"
"2010","Miškingumas","Zarasų r. sav.","proc.","37.2"
"2011","Miškingumas","Zarasų r. sav.","proc.","37.2"
"2012","Miškingumas","Zarasų r. sav.","proc.","37.2"
"2013","Miškingumas","Zarasų r. sav.","proc.","37.2"
"2014","Miškingumas","Zarasų r. sav.","proc.","37.3"
"2015","Miškingumas","Zarasų r. sav.","proc.","37.6"
"2016","Miškingumas","Zarasų r. sav.","proc.","37.6"
"2017","Miškingumas","Zarasų r. sav.","proc.","37.7"
"2018","Miškingumas","Zarasų r. sav.","proc.","37.8"
"2019","Miškingumas","Zarasų r. sav.","proc.","37.8"
"2020","Miškingumas","Zarasų r. sav.","proc.","38.1"
"2021","Miškingumas","Zarasų r. sav.","proc.","38.2"
"2022","Miškingumas","Zarasų r. sav.","proc.","38.2"
"2023","Miškingumas","Zarasų r. sav.","proc.","38.3"
"2024","Miškingumas","Zarasų r. sav.","proc.","38.4"
