"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","34991"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","548729"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","546773"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","542525"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","541732"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","541596"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","542969"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","543191"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","536127"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","533279"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","534619"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","535362"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","536947"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","537241"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","538724"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","540623"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","543832"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","550357"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","556490"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","563012"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","586836"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","602408"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","607667"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","91284"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","92576"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","93324"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","93835"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","94669"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","95700"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","95939"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","95313"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","95650"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","94358"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","93422"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","93081"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","92329"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","92380"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","92776"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","93797"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","94991"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","96295"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","98001"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","103142"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","106179"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","108750"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","182751"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","179626"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","175813"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","173028"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","170249"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","167603"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","164833"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","158403"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","154980"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","153298"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","151648"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","150105"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","147916"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","145039"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","142179"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","140459"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","139041"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","137741"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","135703"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","135620"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","134181"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","132919"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","70053"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","68838"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","67443"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","66749"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","65856"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","64770"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","63630"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","60302"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","58515"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","57978"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","57520"
