"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","43374"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","42789"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","42337"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","41996"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","41812"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","41401"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","41137"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","41347"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","41159"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","40917"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","40775"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","40725"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","40564"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","40120"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","130179"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","127690"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","124020"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","121549"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","119179"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","117100"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","114763"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","110511"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","108125"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","106748"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","105356"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","104041"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","102382"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","100059"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","97565"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","95733"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","94026"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","92667"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","90893"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","90617"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","90534"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","89946"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","36314"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","35517"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","34429"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","33692"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","32954"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","32291"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","31511"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","30331"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","29657"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","29274"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","28821"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","28429"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","27985"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","27346"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","26690"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","26201"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","25647"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","25174"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","24668"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","24804"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","25421"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","25120"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","11745"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","11476"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","11094"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","10808"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","10468"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","10190"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","9942"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","9535"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","9297"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","9172"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","9039"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","8834"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","8578"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","8318"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","8050"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","7841"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","7597"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","7440"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","7236"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","7151"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","7059"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","6990"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","30768"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","30326"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","29586"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","28930"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","28439"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","27936"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","27416"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","26586"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","26047"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","25716"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","25451"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","25166"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","24729"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","24079"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","23403"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","22843"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","22387"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","22051"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","21586"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","21258"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","20856"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","20531"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","51352"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","50371"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","48911"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","48119"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","47318"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","46683"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","45894"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","44059"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","43124"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","42586"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","42045"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","41612"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","41090"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","40316"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","39422"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","38848"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","38395"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","38002"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","37403"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","37404"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","37198"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","37305"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","175090"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","172426"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","167888"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","164963"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","162431"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","160532"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","157718"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","152594"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","149843"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","148302"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","146688"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","145220"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","143297"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","140521"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","137417"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","135464"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","134133"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","133376"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","131691"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","131447"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","130913"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","129884"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","65831"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","64882"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","63564"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","62750"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","61932"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","61443"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","60471"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","58431"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","57457"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","56949"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","56449"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","55932"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","55411"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","54325"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","53275"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","52678"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","52318"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","52120"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","51612"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","51855"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","51909"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","51590"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","43349"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","42832"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","41588"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","40961"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","40473"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","40095"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","39611"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","38275"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","37576"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","37256"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","36945"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","36580"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","36048"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","35457"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","34611"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","34156"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","33833"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","33665"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","33251"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","33199"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","33046"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","32767"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","10323"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","10151"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","9854"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","9660"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","9437"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","9205"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","8981"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","8717"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","8537"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","8428"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","8299"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","8186"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","8066"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","7888"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","7726"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","7596"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","7453"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","7381"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","7292"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","7252"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","7114"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","7049"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","55587"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","54561"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","52882"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","51592"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","50589"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","49789"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","48655"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","47171"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","46273"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","45669"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","44995"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","44522"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","43772"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","42851"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","41805"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","41034"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","40529"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","40210"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","39536"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","39141"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","38844"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","38478"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Utenos apskritis","Miestas ir kaimas","asmenys","178637"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Utenos apskritis","Miestas ir kaimas","asmenys","175226"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Utenos apskritis","Miestas ir kaimas","asmenys","170829"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Utenos apskritis","Miestas ir kaimas","asmenys","167678"
