,name,year,month,infection,forest cover,population
259,Skuodo r. sav.,2004,7,0,15.4,24613.0
260,Šilutės r. sav.,2004,7,5,22.1,53143.0
261,Marijampolės apskritis,2004,7,3,21.6,184058.0
262,Marijampolės r. sav.,2004,7,1,,
263,Šakių r. sav.,2004,7,0,22.8,37575.0
264,Vilkaviškio r. sav.,2004,7,2,10.5,49137.0
265,Panevėžio apskritis,2004,7,18,27.2,290097.0
266,Panevėžio m. sav.,2004,7,15,0.6,114917.0
267,Biržų r. sav.,2004,7,0,26.3,34266.0
268,Kupiškio r. sav.,2004,7,0,27.9,23865.0
269,Panevėžio r. sav.,2004,7,3,33.9,42588.0
270,Pasvalio r. sav.,2004,7,0,16.5,33629.0
271,Rokiškio r. sav.,2004,7,0,27.9,40832.0
272,Šiaulių apskritis,2004,7,10,25.8,357441.0
273,Šiaulių m. sav.,2004,7,5,15.0,127805.0
274,Akmenės r. sav.,2004,7,3,32.1,28951.0
275,Joniškio r. sav.,2004,7,0,18.4,31012.0
276,Kelmės r. sav.,2004,7,1,26.2,39498.0
277,Radviliškio r. sav.,2004,7,0,25.7,50638.0
278,Šiaulių r. sav.,2004,7,1,32.6,51002.0
279,Tauragės apskritis,2004,7,1,31.7,130179.0
280,Jurbarko r. sav.,2004,7,0,38.0,36314.0
281,Šilalės r. sav.,2004,7,1,24.0,30768.0
282,Tauragės r. sav.,2004,7,0,38.5,51352.0
283,Telšių apskritis,2004,7,8,32.9,175090.0
284,Mažeikių r. sav.,2004,7,0,29.3,65831.0
285,Plungės r. sav.,2004,7,1,32.7,43349.0
286,Telšių r. sav.,2004,7,7,29.7,55587.0
287,Utenos apskritis,2004,7,7,32.8,178637.0
288,Visagino sav.,2004,7,1,56.0,27915.0
289,Anykščių r. sav.,2004,7,0,30.3,33783.0
290,Ignalinos r. sav.,2004,7,0,35.5,21944.0
291,Molėtų r. sav.,2004,7,3,28.5,24268.0
292,Utenos r. sav.,2004,7,1,31.8,48800.0
293,Zarasų r. sav.,2004,7,2,37.2,21927.0
294,Vilniaus apskritis,2004,7,19,41.9,841748.0
295,Šalčininkų r. sav.,2004,7,0,46.2,38205.0
296,Širvintų r. sav.,2004,7,1,30.5,19677.0
297,Švenčionių r. sav.,2004,7,0,55.8,32002.0
298,Ukmergės r. sav.,2004,7,0,31.3,46920.0
299,Trakų r. sav.,2004,7,0,47.5,36916.0
300,Alytaus apskritis,2004,8,6,49.0,182751.0
301,Alytaus m. sav.,2004,8,4,30.4,70053.0
302,Druskininkų sav.,2004,8,2,69.2,24665.0
303,Alytaus r. sav.,2004,8,0,24.6,31741.0
304,Lazdijų r. sav.,2004,8,0,34.8,26221.0
305,Varėnos r. sav.,2004,8,0,69.0,30071.0
306,Kauno apskritis,2004,8,80,29.5,682074.0
307,Kauno m. sav.,2004,8,50,20.6,363952.0
308,Jonavos r. sav.,2004,8,7,41.8,51510.0
309,Kaišiadorių r. sav.,2004,8,2,31.4,37117.0
310,Kauno r. sav.,2004,8,14,32.6,83167.0
311,Kėdainių r. sav.,2004,8,1,25.5,63692.0
312,Prienų r. sav.,2004,8,3,27.4,34438.0
313,Raseinių r. sav.,2004,8,3,22.9,42958.0
314,Klaipėdos apskritis,2004,8,13,24.7,376854.0
315,Klaipėdos m. sav.,2004,8,4,16.3,186811.0
316,Palangos m. sav.,2004,8,0,39.9,17222.0
317,Klaipėdos r. sav.,2004,8,0,23.8,47367.0
318,Kretingos r. sav.,2004,8,3,33.1,45454.0
319,Skuodo r. sav.,2004,8,0,15.4,24613.0
320,Šilutės r. sav.,2004,8,6,22.1,53143.0
321,Marijampolės apskritis,2004,8,6,21.6,184058.0
322,Marijampolės r. sav.,2004,8,4,,
323,Šakių r. sav.,2004,8,1,22.8,37575.0
324,Vilkaviškio r. sav.,2004,8,1,10.5,49137.0
325,Panevėžio apskritis,2004,8,38,27.2,290097.0
326,Panevėžio m. sav.,2004,8,28,0.6,114917.0
327,Biržų r. sav.,2004,8,0,26.3,34266.0
328,Kupiškio r. sav.,2004,8,0,27.9,23865.0
329,Panevėžio r. sav.,2004,8,8,33.9,42588.0
330,Pasvalio r. sav.,2004,8,0,16.5,33629.0
331,Rokiškio r. sav.,2004,8,2,27.9,40832.0
332,Šiaulių apskritis,2004,8,21,25.8,357441.0
333,Šiaulių m. sav.,2004,8,12,15.0,127805.0
334,Akmenės r. sav.,2004,8,0,32.1,28951.0
335,Joniškio r. sav.,2004,8,1,18.4,31012.0
336,Kelmės r. sav.,2004,8,0,26.2,39498.0
337,Radviliškio r. sav.,2004,8,1,25.7,50638.0
338,Šiaulių r. sav.,2004,8,7,32.6,51002.0
339,Tauragės apskritis,2004,8,5,31.7,130179.0
340,Jurbarko r. sav.,2004,8,0,38.0,36314.0
341,Šilalės r. sav.,2004,8,0,24.0,30768.0
342,Tauragės r. sav.,2004,8,5,38.5,51352.0
343,Telšių apskritis,2004,8,17,32.9,175090.0
344,Mažeikių r. sav.,2004,8,7,29.3,65831.0
345,Plungės r. sav.,2004,8,1,32.7,43349.0
346,Telšių r. sav.,2004,8,9,29.7,55587.0
347,Utenos apskritis,2004,8,5,32.8,178637.0
348,Visagino sav.,2004,8,0,56.0,27915.0
349,Anykščių r. sav.,2004,8,1,30.3,33783.0
350,Ignalinos r. sav.,2004,8,0,35.5,21944.0
351,Molėtų r. sav.,2004,8,0,28.5,24268.0
352,Utenos r. sav.,2004,8,4,31.8,48800.0
353,Zarasų r. sav.,2004,8,0,37.2,21927.0
354,Vilniaus apskritis,2004,8,53,41.9,841748.0
355,Šalčininkų r. sav.,2004,8,0,46.2,38205.0
356,Širvintų r. sav.,2004,8,0,30.5,19677.0
357,Švenčionių r. sav.,2004,8,2,55.8,32002.0
358,Ukmergės r. sav.,2004,8,1,31.3,46920.0
359,Trakų r. sav.,2004,8,1,47.5,36916.0
360,Alytaus apskritis,2004,9,3,49.0,182751.0
361,Alytaus m. sav.,2004,9,1,30.4,70053.0
362,Druskininkų sav.,2004,9,0,69.2,24665.0
363,Alytaus r. sav.,2004,9,0,24.6,31741.0
364,Lazdijų r. sav.,2004,9,2,34.8,26221.0
365,Varėnos r. sav.,2004,9,0,69.0,30071.0
366,Kauno apskritis,2004,9,75,29.5,682074.0
367,Kauno m. sav.,2004,9,54,20.6,363952.0
368,Jonavos r. sav.,2004,9,3,41.8,51510.0
369,Kaišiadorių r. sav.,2004,9,3,31.4,37117.0
370,Kauno r. sav.,2004,9,9,32.6,83167.0
371,Kėdainių r. sav.,2004,9,1,25.5,63692.0
372,Prienų r. sav.,2004,9,1,27.4,34438.0
373,Raseinių r. sav.,2004,9,4,22.9,42958.0
374,Klaipėdos apskritis,2004,9,17,24.7,376854.0
375,Klaipėdos m. sav.,2004,9,10,16.3,186811.0
376,Palangos m. sav.,2004,9,0,39.9,17222.0
377,Klaipėdos r. sav.,2004,9,2,23.8,47367.0
378,Kretingos r. sav.,2004,9,0,33.1,45454.0
379,Skuodo r. sav.,2004,9,0,15.4,24613.0
380,Šilutės r. sav.,2004,9,5,22.1,53143.0
381,Marijampolės apskritis,2004,9,8,21.6,184058.0
382,Marijampolės r. sav.,2004,9,2,,
383,Šakių r. sav.,2004,9,2,22.8,37575.0
384,Vilkaviškio r. sav.,2004,9,4,10.5,49137.0
385,Panevėžio apskritis,2004,9,43,27.2,290097.0
386,Panevėžio m. sav.,2004,9,29,0.6,114917.0
387,Biržų r. sav.,2004,9,0,26.3,34266.0
388,Kupiškio r. sav.,2004,9,3,27.9,23865.0
389,Panevėžio r. sav.,2004,9,7,33.9,42588.0
390,Pasvalio r. sav.,2004,9,1,16.5,33629.0
391,Rokiškio r. sav.,2004,9,3,27.9,40832.0
392,Šiaulių apskritis,2004,9,30,25.8,357441.0
393,Šiaulių m. sav.,2004,9,7,15.0,127805.0
394,Akmenės r. sav.,2004,9,3,32.1,28951.0
395,Joniškio r. sav.,2004,9,0,18.4,31012.0
396,Kelmės r. sav.,2004,9,5,26.2,39498.0
397,Radviliškio r. sav.,2004,9,11,25.7,50638.0
398,Šiaulių r. sav.,2004,9,2,32.6,51002.0
399,Tauragės apskritis,2004,9,7,31.7,130179.0
400,Jurbarko r. sav.,2004,9,0,38.0,36314.0
401,Šilalės r. sav.,2004,9,0,24.0,30768.0
402,Tauragės r. sav.,2004,9,7,38.5,51352.0
403,Telšių apskritis,2004,9,20,32.9,175090.0
404,Mažeikių r. sav.,2004,9,10,29.3,65831.0
405,Plungės r. sav.,2004,9,5,32.7,43349.0
406,Telšių r. sav.,2004,9,5,29.7,55587.0
407,Utenos apskritis,2004,9,16,32.8,178637.0
408,Visagino sav.,2004,9,3,56.0,27915.0
409,Anykščių r. sav.,2004,9,1,30.3,33783.0
410,Ignalinos r. sav.,2004,9,0,35.5,21944.0
411,Molėtų r. sav.,2004,9,0,28.5,24268.0
412,Utenos r. sav.,2004,9,7,31.8,48800.0
413,Zarasų r. sav.,2004,9,5,37.2,21927.0
414,Vilniaus apskritis,2004,9,57,41.9,841748.0
415,Šalčininkų r. sav.,2004,9,0,46.2,38205.0
416,Širvintų r. sav.,2004,9,4,30.5,19677.0
417,Švenčionių r. sav.,2004,9,2,55.8,32002.0
418,Ukmergės r. sav.,2004,9,0,31.3,46920.0
419,Trakų r. sav.,2004,9,4,47.5,36916.0
420,Alytaus apskritis,2004,10,6,49.0,182751.0
421,Alytaus m. sav.,2004,10,5,30.4,70053.0
422,Druskininkų sav.,2004,10,0,69.2,24665.0
423,Alytaus r. sav.,2004,10,1,24.6,31741.0
424,Lazdijų r. sav.,2004,10,0,34.8,26221.0
425,Varėnos r. sav.,2004,10,0,69.0,30071.0
426,Kauno apskritis,2004,10,63,29.5,682074.0
427,Kauno m. sav.,2004,10,44,20.6,363952.0
428,Jonavos r. sav.,2004,10,2,41.8,51510.0
429,Kaišiadorių r. sav.,2004,10,0,31.4,37117.0
430,Kauno r. sav.,2004,10,7,32.6,83167.0
431,Kėdainių r. sav.,2004,10,2,25.5,63692.0
432,Prienų r. sav.,2004,10,1,27.4,34438.0
433,Raseinių r. sav.,2004,10,7,22.9,42958.0
434,Klaipėdos apskritis,2004,10,15,24.7,376854.0
435,Klaipėdos m. sav.,2004,10,5,16.3,186811.0
436,Palangos m. sav.,2004,10,0,39.9,17222.0
437,Klaipėdos r. sav.,2004,10,1,23.8,47367.0
438,Kretingos r. sav.,2004,10,2,33.1,45454.0
439,Skuodo r. sav.,2004,10,0,15.4,24613.0
440,Šilutės r. sav.,2004,10,7,22.1,53143.0
441,Marijampolės apskritis,2004,10,4,21.6,184058.0
442,Marijampolės r. sav.,2004,10,3,,
443,Šakių r. sav.,2004,10,1,22.8,37575.0
444,Vilkaviškio r. sav.,2004,10,0,10.5,49137.0
445,Panevėžio apskritis,2004,10,50,27.2,290097.0
446,Panevėžio m. sav.,2004,10,33,0.6,114917.0
447,Biržų r. sav.,2004,10,0,26.3,34266.0
448,Kupiškio r. sav.,2004,10,3,27.9,23865.0
449,Panevėžio r. sav.,2004,10,7,33.9,42588.0
450,Pasvalio r. sav.,2004,10,2,16.5,33629.0
451,Rokiškio r. sav.,2004,10,5,27.9,40832.0
452,Šiaulių apskritis,2004,10,21,25.8,357441.0
453,Šiaulių m. sav.,2004,10,8,15.0,127805.0
454,Akmenės r. sav.,2004,10,0,32.1,28951.0
455,Joniškio r. sav.,2004,10,0,18.4,31012.0
456,Kelmės r. sav.,2004,10,6,26.2,39498.0
457,Radviliškio r. sav.,2004,10,0,25.7,50638.0
458,Šiaulių r. sav.,2004,10,2,32.6,51002.0
459,Tauragės apskritis,2004,10,8,31.7,130179.0
460,Jurbarko r. sav.,2004,10,2,38.0,36314.0
461,Šilalės r. sav.,2004,10,0,24.0,30768.0
462,Tauragės r. sav.,2004,10,6,38.5,51352.0
463,Telšių apskritis,2004,10,20,32.9,175090.0
464,Mažeikių r. sav.,2004,10,8,29.3,65831.0
465,Plungės r. sav.,2004,10,11,32.7,43349.0
466,Telšių r. sav.,2004,10,1,29.7,55587.0
